reviewId,providerId,providerName,type,region,rule,target,status,sourceUrl,evidenceSummary,suggestedDecision,correctedFields
source-fit-capture:auckland-auckland-mental-wellness-centre:broad-tag-without-source-support:depression,auckland-auckland-mental-wellness-centre,Auckland Mental Wellness Centre,psychologist,Auckland,broad-tag-without-source-support,depression,needs_human_browser_review,https://aucklandmentalwellness.com/,,needs_more_info,{}
source-fit-capture:auckland-auckland-mental-wellness-centre:broad-tag-without-source-support:anxiety,auckland-auckland-mental-wellness-centre,Auckland Mental Wellness Centre,psychologist,Auckland,broad-tag-without-source-support,anxiety,needs_human_browser_review,https://aucklandmentalwellness.com/,,needs_more_info,{}
source-fit-capture:auckland-mt-eden-counselling-psychotherapy:weak-telehealth-evidence:telehealth,auckland-mt-eden-counselling-psychotherapy,Mt Eden Counselling & Psychotherapy,counsellor,Auckland,weak-telehealth-evidence,telehealth,needs_human_browser_review,https://www.mtedencounselling.co.nz/,,needs_more_info,{}
source-fit-capture:auckland-northspan-wellbeing:broad-tag-without-source-support:depression,auckland-northspan-wellbeing,Northspan Wellbeing,counsellor,Auckland,broad-tag-without-source-support,depression,source_skipped,https://www.northspanwellbeing.org.nz/our-counsellors,,needs_more_info,{}
source-fit-capture:auckland-northspan-wellbeing:broad-tag-without-source-support:anxiety,auckland-northspan-wellbeing,Northspan Wellbeing,counsellor,Auckland,broad-tag-without-source-support,anxiety,source_skipped,https://www.northspanwellbeing.org.nz/our-counsellors,,needs_more_info,{}
source-fit-capture:auckland-northspan-wellbeing:broad-tag-without-source-support:trauma,auckland-northspan-wellbeing,Northspan Wellbeing,counsellor,Auckland,broad-tag-without-source-support,trauma,source_skipped,https://www.northspanwellbeing.org.nz/our-counsellors,,needs_more_info,{}
source-fit-capture:auckland-visionwest-wellbeing-centre:broad-tag-without-source-support:depression,auckland-visionwest-wellbeing-centre,Visionwest Counselling & Wellbeing Centre,counsellor,Auckland,broad-tag-without-source-support,depression,needs_human_browser_review,https://visionwest.org.nz/wellbeing-centre/contact-us/,,needs_more_info,{}
source-fit-capture:auckland-visionwest-wellbeing-centre:broad-tag-without-source-support:anxiety,auckland-visionwest-wellbeing-centre,Visionwest Counselling & Wellbeing Centre,counsellor,Auckland,broad-tag-without-source-support,anxiety,needs_human_browser_review,https://visionwest.org.nz/wellbeing-centre/contact-us/,,needs_more_info,{}
source-fit-capture:auckland-visionwest-wellbeing-centre:broad-tag-without-source-support:trauma,auckland-visionwest-wellbeing-centre,Visionwest Counselling & Wellbeing Centre,counsellor,Auckland,broad-tag-without-source-support,trauma,needs_human_browser_review,https://visionwest.org.nz/wellbeing-centre/contact-us/,,needs_more_info,{}
source-fit-capture:auckland-visionwest-wellbeing-centre:weak-telehealth-evidence:telehealth,auckland-visionwest-wellbeing-centre,Visionwest Counselling & Wellbeing Centre,counsellor,Auckland,weak-telehealth-evidence,telehealth,needs_human_browser_review,https://visionwest.org.nz/wellbeing-centre/contact-us/,,needs_more_info,{}
